t,T,ferrite,pearlite,bainite,martensite,austenite
446.0,777.0,0.0,0.0,0.0,0.0,1.0
448.0,776.0,0.0,0.0,0.0,0.0,1.0
450.0,775.0,0.0,0.0,0.0,0.0,1.0
452.0,773.9999999999998,0.0,0.0,0.0,0.0,1.0
454.0,773.0,0.0,0.0,0.0,0.0,1.0
456.0,772.0,0.0,0.0,0.0,0.0,1.0
458.0,771.0,0.0,0.0,0.0,0.0,1.0
460.0,769.9999999999999,0.0,0.0,0.0,0.0,1.0
462.0,769.0,0.0,0.0,0.0,0.0,1.0
464.0,768.0,0.0,0.0,0.0,0.0,1.0
466.0,767.0,0.0,0.0,0.0,0.0,1.0
468.0,766.0000000000001,0.0,0.0,0.0,0.0,1.0
470.0,764.9999999999999,0.0,0.0,0.0,0.0,1.0
472.0,763.9999999999999,0.0,0.0,0.0,0.0,1.0
474.0,762.9999999999998,0.0,0.0,0.0,0.0,1.0
476.0,762.0000000000001,0.0,0.0,0.0,0.0,1.0
478.0,761.0,0.0,0.0,0.0,0.0,1.0
480.0,760.0,0.0,0.0,0.0,0.0,1.0
482.0,759.0000000000001,0.0,0.0,0.0,0.0,1.0
484.0,758.0,0.0,0.0,0.0,0.0,1.0
486.0,757.0000000000001,0.0,0.0,0.0,0.0,1.0
488.0,756.0000000000001,0.0,0.0,0.0,0.0,1.0
490.0,755.0000000000002,0.0,0.0,0.0,0.0,1.0
492.0,753.9999999999998,0.0,0.0,0.0,0.0,1.0
494.0,753.0000000000002,0.0,0.0,0.0,0.0,1.0
496.0,752.0,0.0,0.0,0.0,0.0,1.0
498.0,751.0,0.0,0.0,0.0,0.0,1.0
500.0,750.0,0.0,0.0,0.0,0.0,1.0
502.0,749.0000000000005,0.0,0.0,0.0,0.0,1.0
504.0,748.0000000000001,0.0,0.0,0.0,0.0,1.0
506.0,746.9999999999997,0.0,0.0,0.0,0.0,1.0
508.0,746.0000000000001,0.0,0.0,0.0,0.0,1.0
510.0,745.0,0.0,0.0,0.0,0.0,1.0
512.0,744.0000000000006,0.0,0.0,0.0,0.0,1.0
514.0,743.0,0.0,0.0,0.0,0.0,1.0
516.0,742.0,0.0,0.0,0.0,0.0,1.0
518.0,741.0000000000001,0.0,0.0,0.0,0.0,1.0
520.0,740.0,0.0,0.0,0.0,0.0,1.0
522.0,739.0000000000001,0.0,0.0,0.0,0.0,1.0
524.0,738.0000000000001,0.0,0.0,0.0,0.0,1.0
526.0,736.9999999999999,0.0,0.0,0.0,0.0,1.0
528.0,735.9999999999997,0.0,0.0,0.0,0.0,1.0
530.0,735.0000000000003,0.0,0.0,0.0,0.0,1.0
532.0,734.0,0.0,0.0,0.0,0.0,1.0
534.0,733.0000000000001,0.0,0.0,0.0,0.0,1.0
536.0,732.0000000000001,0.0,0.0,0.0,0.0,1.0
538.0,731.0,0.0,0.0,0.0,0.0,1.0
540.0,730.0,0.0,0.0,0.0,0.0,1.0
542.0,728.9999999999999,0.0,0.0,0.0,0.0,1.0
544.0,728.0000000000001,0.0,0.0,0.0,0.0,1.0
546.0,727.0,0.0,0.0,0.0,0.0,1.0
548.0,726.0000000000006,0.0,0.0,0.0,0.0,1.0
550.0,724.9999999999999,0.0,0.0,0.0,0.0,1.0
552.0,724.0,0.0,0.0,0.0,0.0,1.0
554.0,723.0000000000001,0.0,0.0,0.0,0.0,1.0
556.0,721.9999999999999,0.0,0.0,0.0,0.0,1.0
558.0,720.9999999999997,0.0,0.0,0.0,0.0,1.0
560.0,720.0,0.0,0.0,0.0,0.0,1.0
562.0,719.0000000000006,0.0,0.0,0.0,0.0,1.0
564.0,718.0000000000002,0.0,0.0,0.0,0.0,1.0
566.0,716.9999999999999,0.0,0.0,0.0,0.0,1.0
568.0,716.0,0.0,0.0,0.0,0.0,1.0
570.0,715.0,0.0,0.0,0.0,0.0,1.0
572.0,713.9999999999999,0.0,0.0,0.0,0.0,1.0
574.0,712.9999999999999,0.0,0.0,0.0,0.0,1.0
576.0,712.0000000000002,0.0,0.0,0.0,0.0,1.0
578.0,710.9999999999998,0.0,0.0,0.0,0.0,1.0
580.0,709.9999999999998,0.0,0.0,0.0,0.0,1.0
582.0,709.0000000000002,0.0,0.0,0.0,0.0,1.0
584.0,708.0000000000002,0.0,0.0,0.0,0.0,1.0
586.0,707.0,0.0010270483377749387,0.0,0.0,0.0,0.9989729516622251
588.0,706.0,0.0011018895928897828,0.0,0.0,0.0,0.9988981104071102
590.0,705.0000000000001,0.0011807437758744688,0.0,0.0,0.0,0.9988192562241255
592.0,704.0,0.0012637580698216537,0.0,0.0,0.0,0.9987362419301783
594.0,703.0000000000001,0.001351080638754374,0.0,0.0,0.0,0.9986489193612457
596.0,702.0000000000001,0.001442860369632477,0.0,0.0,0.0,0.9985571396303675
598.0,701.0,0.0015392466048390332,0.0,0.0,0.0,0.9984607533951609
600.0,699.9999999999998,0.001640388865725324,0.0,0.0,0.0,0.9983596111342746
602.0,699.0000000000002,0.0017464365678266838,0.0,0.0,0.0,0.9982535634321733
604.0,698.0000000000001,0.0018575387283930231,0.0,0.0,0.0,0.998142461271607
606.0,697.0,0.0019738436669072806,0.0,0.0,0.0,0.9980261563330928
608.0,696.0,0.0020954986992921315,0.0,0.0,0.0,0.9979045013007078
610.0,695.0,0.00222264982653009,0.0,0.0,0.0,0.9977773501734699
612.0,693.9999999999997,0.002355441418444443,0.0,0.0,0.0,0.9976445585815555
614.0,693.0,0.002494015893408349,0.0,0.0,0.0,0.9975059841065916
616.0,692.0000000000001,0.002638513394766748,0.0,0.0,0.0,0.9973614866052333
618.0,691.0000000000002,0.0027890714647704974,0.0,0.0,0.0,0.9972109285352295
620.0,690.0000000000002,0.0029458247168343203,0.0,0.0,0.0,0.9970541752831656
622.0,689.0,0.0031089053518505243,0.0,0.0,0.0,0.9968910946481495
624.0,688.0000000000003,0.0032784522721301034,0.0,0.0,0.0,0.9967215477278699
626.0,686.9999999999999,0.0034546084232171892,0.0,0.0,0.0,0.9965453915767828
628.0,685.9999999999998,0.0036375145135738108,0.0,0.0,0.0,0.9963624854864261
630.0,685.0,0.0038273086441718974,0.0,0.0,0.0,0.9961726913558281
632.0,684.0,0.004024126047801912,0.0,0.0,0.0,0.9959758739521981
634.0,682.9999999999998,0.0042280999307684,0.0,0.0,0.0,0.9957719000692316
636.0,682.0000000000002,0.004439363370814984,0.0,0.0,0.0,0.995560636629185
638.0,681.0000000000003,0.004658046753475691,0.0,0.0,0.0,0.9953419532465243
640.0,680.0000000000001,0.0048842770189119885,0.0,0.0,0.0,0.995115722981088
642.0,679.0000000000003,0.005118177581396025,0.0,0.0,0.0,0.994881822418604
644.0,678.0,0.005359871639298332,0.0,0.0,0.0,0.9946401283607017
646.0,677.0,0.005609482314054282,0.0,0.0,0.0,0.9943905176859457
648.0,676.0,0.005867129146674709,0.0,0.0,0.0,0.9941328708533252
650.0,675.0,0.006132927835693324,0.0,0.0,0.0,0.9938670721643067
652.0,673.9999999999999,0.006406992335225773,0.0,0.0,0.0,0.9935930076647742
654.0,673.0000000000002,0.006689434903621383,0.0,0.0,0.0,0.9933105650963786
656.0,671.9999999999999,0.006980363739408037,0.0,0.0,0.0,0.993019636260592
658.0,671.0000000000002,0.007279883340391491,0.0,0.0,0.0,0.9927201166596085
660.0,670.0000000000002,0.007588096937917167,0.0,0.0,0.0,0.9924119030620828
662.0,668.9999999999999,0.007905104325146363,0.0,0.0,0.0,0.9920948956748536
664.0,668.0,0.008231000994989418,0.0,0.0,0.0,0.9917689990050106
666.0,667.0000000000001,0.008565880159506167,0.0,0.0,0.0,0.9914341198404938
668.0,665.9999999999998,0.008909831765023716,0.0,0.0,0.0,0.9910901682349763
670.0,664.9999999999998,0.009262941281063742,0.0,0.0,0.0,0.9907370587189362
672.0,664.0,0.00962529152072838,0.0,0.0,0.0,0.9903747084792717
674.0,663.0000000000001,0.009996961608127056,0.0,0.0,0.0,0.990003038391873
676.0,662.0000000000003,0.010378026268690601,0.0,0.0,0.0,0.9896219737313094
678.0,661.0000000000002,0.010768557356134304,0.0,0.0,0.0,0.9892314426438656
680.0,659.9999999999999,0.011168622299875993,0.0,0.0,0.0,0.988831377700124
682.0,658.9999999999999,0.011578284662246896,0.0,0.0,0.0,0.9884217153377531
684.0,657.9999999999998,0.011997604408852178,0.0,0.0,0.0,0.9880023955911478
686.0,656.9999999999999,0.01242663687189584,0.0,0.0,0.0,0.9875733631281042
688.0,655.9999999999999,0.012865433906070277,0.0,0.0,0.0,0.9871345660939297
690.0,655.0000000000001,0.013314042725572706,0.0,0.0,0.0,0.9866859572744273
692.0,654.0000000000001,0.013772506663898896,0.0,0.0,0.0,0.9862274933361012
694.0,653.0000000000001,0.014240864653581544,0.0,0.0,0.0,0.9857591353464185
696.0,652.0,0.014719151371814801,0.0,0.0,0.0,0.9852808486281852
698.0,650.9999999999999,0.01520739721554114,0.0,0.0,0.0,0.9847926027844589
700.0,649.9999999999998,0.015705628125496134,0.0,0.0,0.0,0.9842943718745039
702.0,649.0,0.016213865749948198,0.0,0.0,0.0,0.9837861342500518
704.0,647.9999999999998,0.016732127210039246,0.0,0.0,0.0,0.9832678727899608
706.0,647.0000000000001,0.01726042525105279,0.0,0.0,0.0,0.9827395747489472
708.0,646.0,0.01779876809628309,0.0,0.0,0.0,0.9822012319037169
710.0,645.0000000000002,0.018347159477048135,0.0,0.0,0.0,0.9816528405229519
712.0,644.0000000000001,0.018905598652748004,0.0,0.0,0.0,0.981094401347252
714.0,643.0,0.01947408027534093,0.0,0.0,0.0,0.9805259197246591
716.0,642.0,0.02005259457932979,0.0,0.0,0.0,0.9799474054206702
718.0,640.9999999999998,0.02064112713166699,0.0,0.0,0.0,0.979358872868333
720.0,640.0,0.021239659074463846,0.0,0.0,0.0,0.9787603409255361
722.0,638.9999999999999,0.02184816693633253,0.0,0.0,0.0,0.9781518330636675
724.0,638.0000000000002,0.02246662272744999,0.0,0.0,0.0,0.97753337727255
726.0,637.0000000000002,0.023094993968429827,0.0,0.0,0.0,0.9769050060315702
728.0,636.0000000000002,0.02373324360214585,0.0,0.0,0.0,0.9762667563978541
730.0,635.0,0.024381330125870376,0.0,0.0,0.0,0.9756186698741296
732.0,634.0,0.02503920754125231,0.0,0.0,0.0,0.9749607924587477
734.0,632.9999999999999,0.025706825362998377,0.0,0.0,0.0,0.9742931746370016
736.0,632.0,0.026384128710919736,0.0,0.0,0.0,0.9736158712890802
738.0,630.9999999999999,0.027071058282213185,0.0,0.0,0.0,0.9729289417177868
740.0,630.0,0.02776755038230747,0.0,0.0,0.0,0.9722324496176925
742.0,628.9999999999998,0.02847353699969568,0.0,0.0,0.0,0.9715264630003043
744.0,628.0,0.02918894581544464,0.0,0.0,0.0,0.9708110541845554
746.0,627.0000000000002,0.02991370023470884,0.0,0.0,0.0,0.9700862997652911
748.0,626.0,0.030647719449823557,0.0,0.0,0.0,0.9693522805501764
750.0,624.9999999999999,0.03139091848976205,0.0,0.0,0.0,0.968609081510238
752.0,623.9999999999999,0.03214320825237445,0.0,0.0,0.0,0.9678567917476255
754.0,622.9999999999998,0.03290449556076454,0.0,0.0,0.0,0.9670955044392354
756.0,622.0,0.03367468322733751,0.0,0.0,0.0,0.9663253167726625
758.0,620.9999999999999,0.03445367011068251,0.0,0.0,0.0,0.9655463298893174
760.0,620.0000000000002,0.03524135116859474,0.0,0.0,0.0,0.9647586488314053
762.0,619.0000000000002,0.03603678882560129,0.0010040523888065324,0.0,0.0,0.9629591587855921
764.0,618.0000000000002,0.0368406306219758,0.0010755568889529005,0.0,0.0,0.9620838124890713
766.0,616.9999999999999,0.037652756031563664,0.0011506324997833514,0.0,0.0,0.961196611468653
768.0,615.9999999999999,0.038473040738254194,0.0012293871976037773,0.0,0.0,0.960297572064142
770.0,614.9999999999999,0.03930135670846956,0.0013119279248504489,0.0,0.0,0.95938671536668
772.0,613.9999999999999,0.04013757226819483,0.0013983603333504139,0.0,0.0,0.9584640673984548
774.0,612.9999999999998,0.0409815521824052,0.0014887885260675487,0.0,0.0,0.9575296592915272
776.0,612.0,0.041833157737269304,0.0015833147981918507,0.0,0.0,0.9565835274645389
778.0,610.9999999999998,0.042692246824839394,0.0016820393784316057,0.0,0.0,0.955625713796729
780.0,610.0000000000001,0.04355867402862685,0.0017850601713665477,0.0,0.0,0.9546562658000066
782.0,609.0000000000002,0.04443229071283179,0.0018924725017144966,0.0,0.0,0.9536752367854537
784.0,608.0,0.04531294511411542,0.0020043688613551494,0.0,0.0,0.9526826860245294
786.0,606.9999999999999,0.046200482435601015,0.0021208386599423337,0.0,0.0,0.9516786789044567
788.0,605.9999999999997,0.047094744943040286,0.002241967979920338,0.0,0.0,0.9506632870770394
790.0,605.0000000000001,0.047995572063065,0.0023678393367410106,0.0,0.0,0.949636588600194
792.0,603.9999999999998,0.04890280048349016,0.00249853144505633,0.0,0.0,0.9485986680714535
794.0,603.0000000000001,0.04981626425558051,0.0026341189916362783,0.0,0.0,0.9475496167527833
796.0,601.9999999999998,0.05073579489797596,0.0027746724157342692,0.0,0.0,0.9464895326862898
798.0,600.9999999999999,0.05166122150238693,0.0029202577682257004,0.0,0.0,0.9454185207293874
800.0,600.0000000000002,0.0525923708359948,0.0030709415737716216,0.0,0.0,0.9443366875902336
802.0,598.9999999999998,0.05352906744131935,0.0032267945647580613,0.0,0.0,0.9432441379939226
804.0,597.9999999999999,0.05447113374426189,0.003387884411302022,0.0,0.0,0.9421409818444361
806.0,597.0000000000001,0.055418390164192345,0.0035542748023201834,0.0,0.0,0.9410273350334875
808.0,596.0,0.05637065522520299,0.0037260252894280085,0.0,0.0,0.939903319485369
810.0,594.9999999999998,0.05732774566836331,0.003903191201287739,0.0,0.0,0.9387690631303489
812.0,594.0,0.05828947656324327,0.004085825159651258,0.0,0.0,0.9376246982771055
814.0,592.9999999999998,0.05925566141990371,0.004273977255812594,0.0,0.0,0.9364703613242837
816.0,592.0,0.06022611230330886,0.004467693257343783,0.0,0.0,0.9353061944393474
818.0,591.0,0.06120063994843041,0.004667014403427169,0.0,0.0,0.9341323456481424
